Using report1.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report1.sqlite] to console... 

Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.9,39580932,1100,35982.7,35232,42016,"wave_compute_56(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39563321,1100,35966.7,34656,42368,"wave_compute_57(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39541854,1100,35947.1,35040,41825,"wave_compute_58(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39508703,1100,35917.0,35136,41952,"wave_compute_52(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39487879,1100,35898.1,35008,41632,"wave_compute_22(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39471261,1100,35883.0,35008,42656,"wave_compute_29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39460861,1100,35873.5,35009,42080,"wave_compute_88(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39452345,1100,35865.8,35072,41632,"wave_compute_55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39450533,1100,35864.1,35136,42305,"wave_compute_69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39434635,1100,35849.7,34945,42081,"wave_compute_81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39430785,1100,35846.2,34976,41952,"wave_compute_87(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39428832,1100,35844.4,35040,42176,"wave_compute_72(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39428463,1100,35844.1,35008,41825,"wave_compute_63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39428440,1100,35844.0,35104,42433,"wave_compute_26(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39427926,1100,35843.6,35008,42113,"wave_compute_95(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39426756,1100,35842.5,35040,41985,"wave_compute_98(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39426715,1100,35842.5,34977,42080,"wave_compute_23(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39426618,1100,35842.4,35040,42081,"wave_compute_44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39425240,1100,35841.1,35008,41760,"wave_compute_85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39418238,1100,35834.8,35072,41920,"wave_compute_70(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39416772,1100,35833.4,35104,41952,"wave_compute_64(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39404423,1100,35822.2,35008,42336,"wave_compute_37(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39403525,1100,35821.4,34944,42336,"wave_compute_84(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39394736,1100,35813.4,35072,41984,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39394303,1100,35813.0,34688,41856,"wave_compute_28(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39390945,1100,35810.0,35072,42144,"wave_compute_42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39389958,1100,35809.1,35040,41696,"wave_compute_90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39387140,1100,35806.5,35008,42113,"wave_compute_79(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39384867,1100,35804.4,35007,41729,"wave_compute_83(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39383555,1100,35803.2,34912,41761,"wave_compute_65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39382911,1100,35802.6,35040,41600,"wave_compute_31(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39372009,1100,35792.7,34913,42113,"wave_compute_32(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39369437,1100,35790.4,34944,41921,"wave_compute_49(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39366835,1100,35788.0,34848,42112,"wave_compute_67(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39365197,1100,35786.5,34976,41953,"wave_compute_38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39365178,1100,35786.5,34976,41824,"wave_compute_82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39364798,1100,35786.2,34976,41920,"wave_compute_46(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39362159,1100,35783.8,35008,41856,"wave_compute_96(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39356912,1100,35779.0,35040,41952,"wave_compute_47(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39351390,1100,35774.0,34912,41856,"wave_compute_41(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39350749,1100,35773.4,34976,41760,"wave_compute_89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39347384,1100,35770.3,34944,41568,"wave_compute_97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39346409,1100,35769.5,34912,42112,"wave_compute_62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39339304,1100,35763.0,34944,41761,"wave_compute_94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39335807,1100,35759.8,34977,42624,"wave_compute_66(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39335802,1100,35759.8,34945,41984,"wave_compute_43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39323518,1100,35748.7,34976,41857,"wave_compute_77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39319422,1100,35744.9,34976,42144,"wave_compute_76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39315847,1100,35741.7,35040,41568,"wave_compute_54(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39315816,1100,35741.7,35008,41760,"wave_compute_30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39314206,1100,35740.2,34944,41792,"wave_compute_93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39311271,1100,35737.5,35008,42336,"wave_compute_45(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39306073,1100,35732.8,34944,41921,"wave_compute_86(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39294677,1100,35722.4,34976,41952,"wave_compute_74(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39290519,1100,35718.7,34976,41409,"wave_compute_33(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39290321,1100,35718.5,34944,42145,"wave_compute_99(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39288411,1100,35716.7,34848,41376,"wave_compute_51(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39276755,1100,35706.1,35008,42240,"wave_compute_25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39270398,1100,35700.4,34912,42272,"wave_compute_71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39269231,1100,35699.3,34976,41856,"wave_compute_27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39268515,1100,35698.7,34880,41984,"wave_compute_48(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39255160,1100,35686.5,34912,41537,"wave_compute_92(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39252913,1100,35684.5,34721,41664,"wave_compute_60(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39249574,1100,35681.4,34944,41664,"wave_compute_40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39244761,1100,35677.1,34816,41504,"wave_compute_21(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39233266,1100,35666.6,34848,41857,"wave_compute_61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39231617,1100,35665.1,34912,41216,"wave_compute_50(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39229969,1100,35663.6,34784,41600,"wave_compute_73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39208699,1100,35644.3,34784,41600,"wave_compute_78(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39207071,1100,35642.8,34655,41984,"wave_compute_80(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39187699,1100,35625.2,34816,41248,"wave_compute_34(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39187548,1100,35625.0,34880,41664,"wave_compute_53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39171803,1100,35610.7,34816,41504,"wave_compute_20(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39171226,1100,35610.2,34848,41664,"wave_compute_68(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39164926,1100,35604.5,34656,42176,"wave_compute_39(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39149467,1100,35590.4,34752,41280,"wave_compute_59(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39139535,1100,35581.4,34753,41568,"wave_compute_35(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39138279,1100,35580.3,34784,41440,"wave_compute_36(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39134070,1100,35576.4,34720,41568,"wave_compute_24(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,39116514,1100,35560.5,34784,41697,"wave_compute_75(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,38922452,1100,35384.0,34560,42112,"wave_compute_19(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,37613877,1100,34194.4,33409,40384,"wave_compute_100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,35894034,1100,32630.9,31648,38784,"wave_compute_18(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.8,34904288,1100,31731.2,30848,37824,"wave_compute_101(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,32196757,1100,29269.8,28224,36416,"wave_compute_17(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,32166522,1100,29242.3,28448,35232,"wave_compute_102(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,29436072,1100,26760.1,25824,34688,"wave_compute_16(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,29163875,1100,26512.6,25504,32896,"wave_compute_103(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,25976307,1100,23614.8,22752,32960,"wave_compute_15(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,25398612,1100,23089.6,22144,29920,"wave_compute_104(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.5,22533768,1100,20485.2,19584,28224,"wave_compute_14(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.5,22329382,1100,20299.4,19456,27584,"wave_compute_105(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.4,19374307,1100,17613.0,16832,25888,"wave_compute_106(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.4,18982344,1100,17256.7,16416,25504,"wave_compute_13(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
