Using report3.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report3.sqlite] to console... 

Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.9,39639246,1100,36035.7,35008,47520,"wave_compute_47(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39486194,1100,35896.5,34976,43328,"wave_compute_46(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39475645,1100,35887.0,34976,42048,"wave_compute_88(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39470795,1100,35882.5,35009,42465,"wave_compute_67(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39454691,1100,35867.9,34976,44385,"wave_compute_61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39437034,1100,35851.8,35072,41793,"wave_compute_26(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39432710,1100,35847.9,34720,43905,"wave_compute_83(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39427800,1100,35843.5,34976,41376,"wave_compute_39(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39427767,1100,35843.4,35040,40993,"wave_compute_90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39421078,1100,35837.3,34880,48704,"wave_compute_42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39411686,1100,35828.8,34944,45664,"wave_compute_44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39403079,1100,35821.0,34848,45120,"wave_compute_52(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39402655,1100,35820.6,34976,45984,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39392771,1100,35811.6,35040,41824,"wave_compute_27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39389631,1100,35808.8,34976,41121,"wave_compute_31(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39387439,1100,35806.8,34944,41312,"wave_compute_34(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39385952,1100,35805.4,35040,42144,"wave_compute_66(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39372881,1100,35793.5,34816,41184,"wave_compute_23(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39370290,1100,35791.2,34752,45824,"wave_compute_81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39369516,1100,35790.5,34881,42048,"wave_compute_32(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39364963,1100,35786.3,34881,43841,"wave_compute_64(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39360257,1100,35782.1,34945,41728,"wave_compute_60(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39351199,1100,35773.8,34944,43744,"wave_compute_78(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39349832,1100,35772.6,34849,43136,"wave_compute_36(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39348941,1100,35771.8,34912,42561,"wave_compute_33(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39343838,1100,35767.1,34880,45504,"wave_compute_20(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39341906,1100,35765.4,34976,40896,"wave_compute_24(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39337727,1100,35761.6,34944,40864,"wave_compute_22(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39331925,1100,35756.3,34944,42688,"wave_compute_79(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39330560,1100,35755.1,34912,42688,"wave_compute_56(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39329618,1100,35754.2,34944,41121,"wave_compute_25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39328140,1100,35752.9,34944,43648,"wave_compute_50(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39321435,1100,35746.8,34816,40704,"wave_compute_29(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39315775,1100,35741.6,34880,43648,"wave_compute_43(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39315349,1100,35741.2,34784,41089,"wave_compute_30(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39311069,1100,35737.3,34912,44064,"wave_compute_82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39309644,1100,35736.0,34912,41696,"wave_compute_38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39305770,1100,35732.5,34912,43745,"wave_compute_89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39302239,1100,35729.3,34880,41984,"wave_compute_69(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39300323,1100,35727.6,34880,41248,"wave_compute_87(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39298494,1100,35725.9,34881,45505,"wave_compute_74(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39298060,1100,35725.5,34912,43424,"wave_compute_84(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39297634,1100,35725.1,34848,41600,"wave_compute_37(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39294499,1100,35722.3,34849,41792,"wave_compute_76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39284001,1100,35712.7,34816,45473,"wave_compute_55(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39282548,1100,35711.4,34720,46529,"wave_compute_75(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39279879,1100,35709.0,34752,41088,"wave_compute_65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39279494,1100,35708.6,34753,40705,"wave_compute_40(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39272348,1100,35702.1,34816,45056,"wave_compute_99(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39266405,1100,35696.7,34720,41121,"wave_compute_94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39262830,1100,35693.5,34784,45217,"wave_compute_70(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39254700,1100,35686.1,34721,46016,"wave_compute_98(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39252858,1100,35684.4,34785,46880,"wave_compute_92(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39245282,1100,35677.5,34848,40640,"wave_compute_62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39242721,1100,35675.2,34816,48576,"wave_compute_72(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39229658,1100,35663.3,34752,45568,"wave_compute_41(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39228632,1100,35662.4,34688,40896,"wave_compute_35(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39219075,1100,35653.7,34785,44736,"wave_compute_96(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39213448,1100,35648.6,34784,45504,"wave_compute_49(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39211415,1100,35646.7,34849,40929,"wave_compute_57(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39199988,1100,35636.4,34848,40769,"wave_compute_21(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39198849,1100,35635.3,34880,42080,"wave_compute_97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39194855,1100,35631.7,34816,44000,"wave_compute_77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39184067,1100,35621.9,34784,41984,"wave_compute_80(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39183481,1100,35621.3,34848,44640,"wave_compute_53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39177965,1100,35616.3,34848,41344,"wave_compute_93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39175161,1100,35613.8,34848,42529,"wave_compute_54(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39170718,1100,35609.7,34752,41825,"wave_compute_73(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39160894,1100,35600.8,34816,41280,"wave_compute_71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39151280,1100,35592.1,34816,46753,"wave_compute_48(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39143584,1100,35585.1,34689,42080,"wave_compute_68(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39138933,1100,35580.8,34752,45504,"wave_compute_58(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39138809,1100,35580.7,34752,40800,"wave_compute_85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39114266,1100,35558.4,34784,42432,"wave_compute_63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39112761,1100,35557.1,34752,45857,"wave_compute_45(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39108311,1100,35553.0,34720,40608,"wave_compute_51(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.9,39095317,1100,35541.2,34721,45248,"wave_compute_59(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
