Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 14.071936 ms
Iteration time 7.880320 ms
Iteration time 6.164384 ms
Iteration time 6.071232 ms
Iteration time 6.040032 ms
Iteration time 6.083040 ms
Iteration time 5.958304 ms
Iteration time 6.165344 ms
Iteration time 6.067392 ms
Iteration time 6.059456 ms
Iteration time 6.211808 ms
Iteration time 6.051552 ms
Iteration time 6.583744 ms
Iteration time 6.100992 ms
Iteration time 6.068224 ms
Iteration time 5.987392 ms
Iteration time 5.943712 ms
Iteration time 6.031232 ms
Iteration time 5.918272 ms
Iteration time 5.986112 ms
Iteration time 6.060128 ms
Iteration time 6.023776 ms
Iteration time 5.998208 ms
Iteration time 5.990304 ms
Iteration time 5.988192 ms
Iteration time 6.061792 ms
Iteration time 6.010144 ms
Iteration time 6.089856 ms
Iteration time 5.996032 ms
Iteration time 5.980736 ms
Iteration time 6.001952 ms
Iteration time 6.011776 ms
Iteration time 6.050560 ms
Iteration time 6.035456 ms
Iteration time 5.998624 ms
Iteration time 6.027232 ms
Iteration time 6.099968 ms
Iteration time 5.912832 ms
Iteration time 6.047584 ms
Iteration time 6.022752 ms
Iteration time 5.960832 ms
Iteration time 6.090464 ms
Iteration time 6.057376 ms
Iteration time 6.082496 ms
Iteration time 6.142528 ms
Iteration time 6.092896 ms
Iteration time 6.177600 ms
Iteration time 6.021664 ms
Iteration time 5.910624 ms
Iteration time 6.024512 ms
Iteration time 6.048896 ms
Iteration time 6.010304 ms
Iteration time 6.143776 ms
Iteration time 6.026016 ms
Iteration time 6.090720 ms
Iteration time 6.078112 ms
Iteration time 5.995712 ms
Iteration time 6.085440 ms
Iteration time 6.032288 ms
Iteration time 6.100736 ms
Iteration time 6.086080 ms
Iteration time 6.099360 ms
Iteration time 6.035072 ms
Iteration time 5.990656 ms
Iteration time 6.042432 ms
Iteration time 5.979040 ms
Iteration time 6.059456 ms
Iteration time 5.976832 ms
Iteration time 5.953056 ms
Iteration time 6.083424 ms
Iteration time 5.930688 ms
Iteration time 6.104160 ms
