Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 15.184672 ms
Iteration time 7.912896 ms
Iteration time 6.155392 ms
Iteration time 6.043776 ms
Iteration time 6.016192 ms
Iteration time 6.163968 ms
Iteration time 6.142784 ms
Iteration time 6.112992 ms
Iteration time 6.053760 ms
Iteration time 6.074560 ms
Iteration time 5.972448 ms
Iteration time 6.095936 ms
Iteration time 6.131008 ms
Iteration time 6.030496 ms
Iteration time 6.042752 ms
Iteration time 6.127456 ms
Iteration time 6.212832 ms
Iteration time 6.186368 ms
Iteration time 6.070304 ms
Iteration time 5.992256 ms
Iteration time 6.089632 ms
Iteration time 6.196352 ms
Iteration time 6.233344 ms
Iteration time 6.245152 ms
Iteration time 6.052416 ms
Iteration time 6.117856 ms
Iteration time 6.133280 ms
Iteration time 6.184032 ms
Iteration time 6.060832 ms
Iteration time 6.215520 ms
Iteration time 6.075456 ms
Iteration time 6.090272 ms
Iteration time 6.044800 ms
Iteration time 6.202624 ms
Iteration time 6.226880 ms
Iteration time 6.099712 ms
Iteration time 6.083936 ms
Iteration time 6.097824 ms
Iteration time 8.545312 ms
Iteration time 13.529504 ms
Iteration time 6.359360 ms
Iteration time 6.263424 ms
Iteration time 6.136256 ms
Iteration time 6.102560 ms
Iteration time 6.178560 ms
Iteration time 6.101792 ms
Iteration time 6.129984 ms
Iteration time 6.192800 ms
Iteration time 6.069888 ms
Iteration time 6.155264 ms
Iteration time 6.130464 ms
Iteration time 6.063360 ms
Iteration time 6.185280 ms
Iteration time 6.166944 ms
Iteration time 6.211680 ms
Iteration time 6.197856 ms
Iteration time 6.085952 ms
Iteration time 6.168928 ms
Iteration time 6.131456 ms
Iteration time 6.185312 ms
Iteration time 6.086304 ms
Iteration time 6.356896 ms
Iteration time 6.192960 ms
Iteration time 6.156480 ms
Iteration time 6.368832 ms
Iteration time 6.218528 ms
Iteration time 6.197024 ms
Iteration time 6.212896 ms
Iteration time 6.233120 ms
Iteration time 6.398272 ms
Iteration time 6.241120 ms
Iteration time 6.126592 ms
