Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 16.221888 ms
Iteration time 8.524096 ms
Iteration time 6.733888 ms
Iteration time 6.482784 ms
Iteration time 6.520448 ms
Iteration time 6.597824 ms
Iteration time 6.525984 ms
Iteration time 6.509216 ms
Iteration time 6.530496 ms
Iteration time 6.594368 ms
Iteration time 6.482240 ms
Iteration time 6.595296 ms
Iteration time 6.691072 ms
Iteration time 6.378976 ms
Iteration time 6.550720 ms
Iteration time 6.580896 ms
Iteration time 6.583232 ms
Iteration time 6.716480 ms
Iteration time 6.496128 ms
Iteration time 6.480000 ms
Iteration time 6.567008 ms
Iteration time 6.725600 ms
Iteration time 6.583936 ms
Iteration time 6.591264 ms
Iteration time 6.581280 ms
Iteration time 6.585280 ms
Iteration time 6.566528 ms
Iteration time 6.493248 ms
Iteration time 6.479232 ms
Iteration time 6.634144 ms
Iteration time 6.528192 ms
Iteration time 6.578496 ms
Iteration time 6.630048 ms
Iteration time 6.600448 ms
Iteration time 6.575392 ms
Iteration time 6.540192 ms
Iteration time 6.515200 ms
Iteration time 6.518176 ms
Iteration time 6.606080 ms
Iteration time 6.637312 ms
Iteration time 6.654496 ms
Iteration time 6.628352 ms
Iteration time 6.562528 ms
Iteration time 6.607200 ms
Iteration time 6.535232 ms
Iteration time 6.590720 ms
Iteration time 6.614656 ms
Iteration time 6.485024 ms
Iteration time 6.594368 ms
Iteration time 6.540576 ms
Iteration time 6.500768 ms
Iteration time 6.624544 ms
Iteration time 6.472128 ms
Iteration time 6.705920 ms
Iteration time 6.704288 ms
Iteration time 6.519008 ms
Iteration time 6.496640 ms
Iteration time 6.541184 ms
Iteration time 6.579264 ms
Iteration time 6.623872 ms
Iteration time 6.645120 ms
Iteration time 6.543648 ms
Iteration time 6.642912 ms
Iteration time 6.633568 ms
Iteration time 6.709984 ms
Iteration time 6.546208 ms
Iteration time 6.615264 ms
Iteration time 6.538368 ms
Iteration time 6.558304 ms
Iteration time 6.612128 ms
Iteration time 6.619424 ms
Iteration time 6.602464 ms
