Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 5.941696 ms
Iteration time 6.083616 ms
Iteration time 5.977248 ms
Iteration time 5.967328 ms
Iteration time 6.043296 ms
Iteration time 6.000864 ms
Iteration time 6.064384 ms
Iteration time 5.984672 ms
Iteration time 6.032608 ms
Iteration time 6.013024 ms
Iteration time 6.036256 ms
Iteration time 6.082176 ms
Iteration time 5.945152 ms
Iteration time 5.956544 ms
Iteration time 6.234496 ms
Iteration time 6.171584 ms
Iteration time 6.190144 ms
Iteration time 6.096192 ms
Iteration time 6.052704 ms
Iteration time 6.094112 ms
Iteration time 6.029696 ms
Iteration time 5.995104 ms
Iteration time 6.129696 ms
Iteration time 6.091872 ms
Iteration time 6.042816 ms
Iteration time 6.433664 ms
Iteration time 6.082592 ms
Iteration time 6.050880 ms
Iteration time 6.444320 ms
Iteration time 6.724992 ms
Iteration time 6.625408 ms
Iteration time 6.396096 ms
Iteration time 6.242720 ms
Iteration time 6.382240 ms
Iteration time 6.173184 ms
Iteration time 6.342048 ms
Iteration time 6.238528 ms
Iteration time 6.219392 ms
Iteration time 6.312160 ms
Iteration time 6.227808 ms
Iteration time 6.240448 ms
Iteration time 6.080192 ms
Iteration time 6.365664 ms
Iteration time 6.227616 ms
Iteration time 6.338912 ms
Iteration time 6.228832 ms
Iteration time 6.206208 ms
Iteration time 6.239232 ms
Iteration time 6.120000 ms
Iteration time 6.022752 ms
Iteration time 6.086144 ms
Iteration time 5.921696 ms
Iteration time 6.078528 ms
Iteration time 6.087072 ms
Iteration time 6.046240 ms
Iteration time 6.078784 ms
Iteration time 5.991200 ms
Iteration time 5.950912 ms
Iteration time 6.028288 ms
Iteration time 6.004416 ms
Iteration time 6.080032 ms
Iteration time 6.062432 ms
Iteration time 6.248608 ms
Iteration time 6.040544 ms
Iteration time 5.985664 ms
Iteration time 6.065664 ms
Iteration time 6.327552 ms
Iteration time 5.989984 ms
Iteration time 6.066240 ms
Iteration time 6.081184 ms
Iteration time 5.970848 ms
Iteration time 5.976448 ms
Iteration time 6.032640 ms
Iteration time 6.054368 ms
Iteration time 6.098432 ms
Iteration time 5.975808 ms
Iteration time 6.018336 ms
Iteration time 6.707456 ms
Iteration time 6.285216 ms
Iteration time 6.078208 ms
Iteration time 6.195552 ms
Iteration time 6.110848 ms
Iteration time 6.019520 ms
Iteration time 6.049088 ms
Iteration time 6.056576 ms
Iteration time 6.137472 ms
Iteration time 6.096416 ms
Iteration time 6.394560 ms
Iteration time 5.944288 ms
Iteration time 6.116992 ms
Iteration time 6.117760 ms
Iteration time 6.074880 ms
Iteration time 6.105952 ms
Iteration time 5.964768 ms
Iteration time 6.231232 ms
Iteration time 6.063488 ms
Iteration time 5.985536 ms
Iteration time 6.077632 ms
Iteration time 6.113056 ms
Iteration time 6.054304 ms
Iteration time 6.129056 ms
Iteration time 5.999072 ms
Iteration time 6.123552 ms
Iteration time 6.039808 ms
Iteration time 6.076896 ms
Iteration time 6.044576 ms
Iteration time 6.035072 ms
Iteration time 6.106368 ms
Iteration time 6.093344 ms
Iteration time 6.115968 ms
Iteration time 5.976960 ms
Iteration time 6.083520 ms
Iteration time 6.037248 ms
