Using report4.sqlite export for stats reports.
Exporting [/opt/nvidia/nsight-systems/2020.4.3/target-linux-x64/reports/gpukernsum.py report4.sqlite] to console... 
overall : 1.47 ms
Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,Name
0.7,12824795,1100,11658.9,10784,18848,"wave_compute_100(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.7,11877588,1100,10797.8,9983,18208,"wave_compute_9(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11541091,1100,10491.9,9728,17921,"wave_compute_81(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11531821,1100,10483.5,9792,17792,"wave_compute_87(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11528466,1100,10480.4,9760,17824,"wave_compute_92(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11503876,1100,10458.1,9312,17088,"wave_compute_7(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11494222,1100,10449.3,9631,17952,"wave_compute_10(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11482559,1100,10438.7,9696,18016,"wave_compute_11(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11473603,1100,10430.5,9728,17632,"wave_compute_28(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11471348,1100,10428.5,9664,17824,"wave_compute_80(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11468426,1100,10425.8,9728,18080,"wave_compute_26(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11468212,1100,10425.6,9631,18016,"wave_compute_47(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11456988,1100,10415.4,9600,17664,"wave_compute_96(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11456755,1100,10415.2,9664,17792,"wave_compute_18(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11455831,1100,10414.4,9696,17760,"wave_compute_65(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11453333,1100,10412.1,9696,17824,"wave_compute_78(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11452255,1100,10411.1,9632,17888,"wave_compute_66(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11451006,1100,10410.0,9759,17760,"wave_compute_58(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11448371,1100,10407.6,9696,18048,"wave_compute_97(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11442164,1100,10402.0,9728,17664,"wave_compute_21(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11441545,1100,10401.4,9728,17760,"wave_compute_16(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11437342,1100,10397.6,9696,17760,"wave_compute_51(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11436552,1100,10396.9,9665,18080,"wave_compute_15(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11436508,1100,10396.8,9728,17696,"wave_compute_99(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11427705,1100,10388.8,9631,17729,"wave_compute_70(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11422926,1100,10384.5,9664,17761,"wave_compute_32(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11417461,1100,10379.5,9600,17824,"wave_compute_62(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11417222,1100,10379.3,9728,17697,"wave_compute_34(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11417116,1100,10379.2,9696,17984,"wave_compute_77(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11416871,1100,10379.0,9728,17695,"wave_compute_22(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11414609,1100,10376.9,9600,18176,"wave_compute_20(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11413041,1100,10375.5,9536,17824,"wave_compute_8(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11407411,1100,10370.4,9696,17729,"wave_compute_52(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11404240,1100,10367.5,9728,17760,"wave_compute_31(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11403629,1100,10366.9,9664,17888,"wave_compute_71(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11401381,1100,10364.9,9665,18048,"wave_compute_46(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11398903,1100,10362.6,9632,17792,"wave_compute_61(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11396600,1100,10360.5,9600,17728,"wave_compute_91(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11390479,1100,10355.0,9632,17760,"wave_compute_85(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11389928,1100,10354.5,9664,17664,"wave_compute_82(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11383998,1100,10349.1,9600,17825,"wave_compute_98(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11382107,1100,10347.4,9632,17792,"wave_compute_86(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11378531,1100,10344.1,9632,17728,"wave_compute_44(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11372272,1100,10338.4,9664,17440,"wave_compute_27(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11365823,1100,10332.6,9600,17760,"wave_compute_89(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11358670,1100,10326.1,9600,17888,"wave_compute_53(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11357209,1100,10324.7,9632,17696,"wave_compute_76(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11356927,1100,10324.5,9536,18176,"wave_compute_17(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11355864,1100,10323.5,9600,17697,"wave_compute_68(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11335572,1100,10305.1,9568,17728,"wave_compute_90(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11331953,1100,10301.8,9600,17664,"wave_compute_25(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11325586,1100,10296.0,9632,17888,"wave_compute_93(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11317346,1100,10288.5,9599,17600,"wave_compute_94(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11314244,1100,10285.7,9600,17856,"wave_compute_38(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11314210,1100,10285.6,9600,17728,"wave_compute_48(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11295726,1100,10268.8,9568,17600,"wave_compute_42(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11295560,1100,10268.7,9599,17952,"wave_compute_63(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
0.6,11281382,1100,10255.8,9440,17568,"wave_compute_14(WaveInputParams*, WaveModelParams*, WaveOutputParams*)"
